,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
37,88,Maxi Kleber,DAL,30,18,9,9,25.4,8.7,3.0,5.9,50.9,1.9,4.3,43.6,0.8,1.2,71.4,0.8,3.7,4.6,1.1,0.6,0.2,0.8,2.7,18.4,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
38,89,Danny Green,PHI,34,12,6,6,26.6,8.6,3.0,7.4,40.4,2.6,6.3,40.8,0.0,0.1,0.0,0.8,2.3,3.1,0.8,1.1,1.0,0.3,1.9,16.5,0,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
39,90,Malik Beasley,MIN,25,6,2,4,19.8,8.5,3.2,7.3,43.2,1.3,4.2,32.0,0.8,1.0,83.3,0.3,3.0,3.3,0.7,1.2,0.3,0.2,1.5,13.8,0,0,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
40,91,Draymond Green,GSW,32,18,13,5,31.0,8.4,3.3,6.5,50.4,0.3,1.6,21.4,1.6,2.5,62.2,0.8,6.2,7.1,6.3,2.7,1.0,1.1,3.9,29.8,2,0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,
41,92,Coby White,CHI,22,5,1,4,19.6,8.4,3.0,9.0,33.3,1.6,5.8,27.6,0.8,1.0,80.0,0.0,3.4,3.4,1.8,1.2,0.2,0.0,1.0,14.6,0,0,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
42,93,Grayson Allen,MIL,26,12,7,5,25.4,8.3,3.1,6.8,45.1,1.6,4.0,39.6,0.6,0.9,63.6,0.4,2.5,2.9,1.3,0.8,0.7,0.3,1.8,16.0,0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,94,Delon Wright,ATL,30,5,1,4,27.4,8.2,3.0,5.8,51.7,1.0,2.6,38.5,1.2,1.8,66.7,2.2,2.6,4.8,2.8,1.0,0.8,0.2,0.4,20.2,0,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
44,95,Gabe Vincent,MIA,25,18,11,7,23.5,8.0,2.8,7.3,38.2,1.4,4.5,30.9,1.1,1.1,95.0,0.2,1.8,1.9,3.2,1.4,0.8,0.3,2.3,16.9,0,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
45,95,Jose Alvarado,NOP,24,6,2,4,19.5,8.0,2.7,5.5,48.5,1.0,2.7,37.5,1.7,2.2,76.9,0.3,1.0,1.3,1.5,1.2,1.2,0.2,3.0,14.7,0,0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
46,97,P.J. Tucker,MIA,37,18,11,7,28.3,7.9,3.0,6.1,49.5,1.3,2.8,45.1,0.6,0.9,68.8,1.9,3.7,5.7,1.8,0.7,0.8,0.3,2.8,19.8,0,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
47,98,Kyle Lowry,MIA,36,10,4,6,29.5,7.8,2.5,8.6,29.1,1.3,5.4,24.1,1.5,1.9,78.9,0.3,3.3,3.6,4.7,1.9,1.2,0.7,2.9,23.0,1,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
48,99,Robert Williams III,BOS,24,13,8,5,21.1,7.4,2.9,4.4,66.7,0.0,0.1,0.0,1.5,1.7,90.9,2.2,3.1,5.2,0.7,0.6,0.6,2.1,2.1,22.2,0,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
49,100,Ziaire Williams,MEM,20,10,5,5,16.8,6.9,2.3,5.2,44.2,1.1,3.6,30.6,1.2,1.3,92.3,0.4,1.2,1.6,0.5,0.2,0.5,0.0,1.4,10.9,0,0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
