,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,101,JaVale McGee,PHX,34,12,7,5,11.1,6.8,2.9,4.2,70.0,0.0,0.1,0.0,0.9,1.1,84.6,1.3,2.7,4.0,0.6,0.8,0.3,0.4,2.3,13.7,0,0,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,102,Kevon Looney,GSW,26,18,13,5,20.3,6.3,2.8,4.2,67.1,0.0,0.0,0.0,0.6,1.0,61.1,2.7,5.0,7.7,2.2,0.6,0.4,0.5,1.9,21.0,2,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,103,Alex Caruso,CHI,28,4,1,3,28.4,6.3,2.3,5.8,39.1,1.8,4.5,38.9,0.0,0.0,0.0,0.5,2.3,2.8,4.3,0.3,1.3,1.0,2.8,22.4,0,0,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3,103,Gary Payton II,GSW,29,8,6,2,17.0,6.3,2.4,3.1,76.0,0.9,1.1,77.8,0.6,1.3,50.0,1.3,1.8,3.0,1.5,0.5,0.8,0.6,1.5,15.7,0,0,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
4,103,Patty Mills,BKN,33,4,0,4,18.1,6.3,2.3,4.0,56.3,1.8,3.3,53.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,0.0,0.3,1.3,8.0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,106,Jordan McLaughlin,MIN,26,5,2,3,16.6,6.2,2.4,3.4,70.6,0.8,1.4,57.1,0.6,0.8,75.0,0.0,2.4,2.4,3.4,0.4,1.0,0.0,1.0,16.8,0,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
6,107,Royce O'Neale,UTA,29,6,2,4,31.4,6.2,2.3,5.8,40.0,1.2,4.2,28.0,0.3,0.3,100.0,1.0,4.7,5.7,1.5,0.5,0.5,0.2,2.7,16.7,0,0,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
7,107,Wesley Matthews,MIL,35,12,7,5,28.7,6.2,2.1,5.3,39.1,1.5,3.8,40.0,0.5,0.8,66.7,0.8,2.3,3.1,1.2,0.5,0.8,0.3,2.3,14.1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,Jaylen Nowell,MIN,22,1,0,1,11.9,6.0,3.0,10.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.5,0,0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,109,Kyle Anderson,MEM,28,12,6,6,18.4,6.0,2.4,4.3,56.9,0.3,1.0,25.0,0.9,1.5,61.1,0.8,3.5,4.3,1.8,0.8,0.9,0.6,1.8,17.5,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
