,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
0,151,Dwight Powell,DAL,30,18,9,9,13.8,3.2,1.2,1.9,62.9,0.0,0.1,0.0,0.8,1.3,60.9,0.9,1.7,2.6,0.2,0.5,0.2,0.3,2.2,7.7,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,152,Trey Burke,DAL,29,10,6,4,3.7,3.2,1.1,2.2,50.0,0.4,1.0,40.0,0.6,0.6,100.0,0.0,0.3,0.3,0.4,0.1,0.1,0.0,0.3,4.4,0,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2,153,Furkan Korkmaz,PHI,24,9,3,6,6.8,3.1,1.2,2.6,47.8,0.4,1.1,40.0,0.2,0.2,100.0,0.1,1.2,1.3,0.4,0.2,0.1,0.1,0.8,5.8,0,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,154,Khem Birch,TOR,29,6,2,4,10.5,3.0,1.3,2.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.7,0.8,1.5,0.5,0.5,0.2,0.2,2.2,6.1,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
4,154,Matisse Thybulle,PHI,25,9,4,5,15.2,3.0,1.2,2.7,45.8,0.4,1.6,28.6,0.1,0.3,33.3,0.2,0.8,1.0,0.4,0.2,0.8,0.8,1.7,9.3,0,0,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,154,Naji Marshall,NOP,24,6,2,4,9.4,3.0,1.2,1.7,70.0,0.0,0.0,0.0,0.7,0.7,100.0,0.5,0.5,1.0,0.8,0.5,0.2,0.2,0.8,6.0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,157,Bismack Biyombo,PHX,29,9,5,4,9.5,2.8,1.2,1.9,64.7,0.0,0.0,0.0,0.3,0.7,50.0,0.9,1.2,2.1,0.6,0.7,0.1,0.2,1.4,6.5,0,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
7,157,Omer Yurtseven,MIA,23,9,5,4,4.2,2.8,1.3,2.0,66.7,0.0,0.2,0.0,0.1,0.3,33.3,0.1,0.7,0.8,0.3,0.0,0.0,0.1,0.2,4.5,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,159,Andre Iguodala,GSW,38,4,2,2,13.6,2.8,1.0,2.3,44.4,0.3,0.8,33.3,0.5,0.8,66.7,0.8,1.0,1.8,2.5,1.0,0.0,0.5,2.8,9.1,0,0,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
9,160,Vlatko Cancar,DEN,25,2,0,2,4.3,2.5,1.0,1.5,66.7,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,3.5,0,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
10,161,Jarrett Culver,MEM,23,3,2,1,7.4,2.3,1.0,3.3,30.0,0.0,0.7,0.0,0.3,0.7,50.0,0.7,1.7,2.3,0.3,0.7,0.7,0.0,1.3,7.0,0,0,-6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
11,161,Juancho Hernangomez,UTA,26,6,2,4,9.3,2.3,0.8,3.0,27.8,0.7,2.0,33.3,0.0,0.0,0.0,0.3,1.7,2.0,0.8,0.3,0.3,0.0,0.7,6.7,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12,163,Damion Lee,GSW,29,14,10,4,8.6,2.3,0.9,2.3,40.6,0.3,1.0,28.6,0.1,0.2,66.7,0.4,1.5,1.9,0.5,0.4,0.1,0.0,0.6,5.1,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
